date,min,max,median,q1,q3,stdev,count
2022-11-23T00:00:00.000Z,3.53,14.37,5.37,4.76,6.82,1.768,512
2022-11-24T00:00:00.000Z,3.17,57.03,8.57,4.4,13.7,8.723,479
2022-11-25T00:00:00.000Z,2.29,23.47,5.5,3.73,7.3,2.156,506
2022-11-26T00:00:00.000Z,2.17,29.43,8.57,6.45,11.12,4.735,520
2022-11-27T00:00:00.000Z,5.09,31.9,10.1,8.68,12.77,4.3,533
2022-11-28T00:00:00.000Z,4.5,40.1,11.29,9.43,13.53,4.48,498
2022-11-29T00:00:00.000Z,3.43,97.93,7.83,5.97,11.03,6.053,447
2022-11-30T00:00:00.000Z,1.77,21.53,3.93,3.1,4.63,1.805,522
2022-12-01T00:00:00.000Z,1.7,19,4.13,3.37,4.9,1.468,479
2022-12-02T00:00:00.000Z,1.6,12.13,5.29,3.73,6.87,1.956,566
2022-12-03T00:00:00.000Z,1.23,36,2.5,1.7,3.3,2.152,561
2022-12-04T00:00:00.000Z,0.8,48.57,1.73,1.43,2.1,3.981,511
2022-12-05T00:00:00.000Z,1.5,21.2,2.5,2.02,3.2,1.553,510
2022-12-06T00:00:00.000Z,1.7,85.53,3.27,2.9,4.53,7.812,518
2022-12-07T00:00:00.000Z,0.87,63.73,2,1.6,2.5,4.138,529
2022-12-08T00:00:00.000Z,1.03,40.13,2.1,1.6,3.5,4.207,523
2022-12-09T00:00:00.000Z,1.2,26.4,2.43,1.7,5.2,3.927,528
2022-12-10T00:00:00.000Z,1.57,35.36,2.73,2.17,3.7,3.385,536
2022-12-11T00:00:00.000Z,2.06,13.93,2.83,2.6,3.13,1.118,536
2022-12-12T00:00:00.000Z,1.8,20.13,2.73,2.4,3.13,1.299,507
2022-12-13T00:00:00.000Z,1.83,6.23,2.5,2.29,2.8,0.52,518
2022-12-14T00:00:00.000Z,1.6,44,2.43,2.06,2.7,2.377,509
2022-12-15T00:00:00.000Z,1.53,16.93,2.2,1.97,2.5,1.26,516
2022-12-16T00:00:00.000Z,1.7,43.77,2.6,2.23,8.02,10.709,488
2022-12-17T00:00:00.000Z,4.87,22.03,8.69,6.63,16.2,4.87,514
2022-12-18T00:00:00.000Z,1.57,19.53,6.9,2.4,11.5,4.534,504
2022-12-19T00:00:00.000Z,3.03,27.07,14,7.7,16.97,5.509,510
2022-12-20T00:00:00.000Z,1.8,78.53,10.79,7.09,18.18,13.551,524
2022-12-21T00:00:00.000Z,0.9,13.07,4.17,3.13,5.07,1.608,483
2022-12-22T00:00:00.000Z,0.5,22.1,5.09,3.8,7.5,3.632,515
2022-12-23T00:00:00.000Z,0.5,8.8,1,0.7,1.5,0.719,366
2022-12-24T00:00:00.000Z,1,309.43,2.65,1.4,3.7,17.32,474
2022-12-25T00:00:00.000Z,2.83,13.2,5.37,4.47,6.47,1.452,483
2022-12-26T00:00:00.000Z,0.9,57.4,7.47,5.13,14.63,10.196,391
2022-12-27T00:00:00.000Z,0.8,27.73,1.5,1.1,2.29,1.55,452
2022-12-28T00:00:00.000Z,1,16,1.89,1.4,2.67,2.501,472
2022-12-29T00:00:00.000Z,1.5,42.53,3.2,2.7,3.9,2.952,507
2022-12-30T00:00:00.000Z,1.3,7.9,3.2,2.29,3.8,0.939,439
2022-12-31T00:00:00.000Z,1.43,9.52,3.7,2.47,4.8,1.317,464
2023-01-01T00:00:00.000Z,0.73,50.77,2.06,1.2,3.87,4.019,447
